image,text
data/raw/img\000.jpg,"BOOK TA .K (TAMAN DAYA) SDN BHD
NO.53 55,57 & 59, JALAN SAGU 18, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR.
25/12/2018
Total: 9.00"
data/raw/img\001.jpg,"INDAH GIFT & HOME DECO
27, JALAN DEDAP 13, TAMAN JOHOR JAYA, 81100 JOHOR BAHRU, JOHOR.
19/10/2018
Total: 60.30"
data/raw/img\002.jpg,"MR D.I.Y. (JOHOR) SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (MR DIY TESCO TERBAU)
12-01-19
Total: 33.90"
data/raw/img\003.jpg,"YONGFATT ENTERPRISE
NO 122.124. JALAN DEDAP 13 81100 JOHOR BAHRU
25/12/2018
Total: 80.90"
data/raw/img\004.jpg,"MR D.I.Y. (M) SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR (TESCO PUTRA NILAI)
18-11-18
Total: 30.90"
data/raw/img\005.jpg,"ABC HO TRADING
NO.2&4, JALAN HARMONI 3/2, TAMAN DESA HARMONI. 81100 JOHOR BAHRU JOHOR
09/01/2019
Total: 31.00"
data/raw/img\006.jpg,"SOON HUAT MACHINERY ENTERPRISE
NO.53 JALAN PUTRA 1, TAMAN SRI PUTRA, 81200 JOHOR BAHRU JOHOR
11/01/2019
Total: 327.00"
data/raw/img\007.jpg,"S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.
NO. 343, JALAN KURAU, SUNGAI RENGIT, 81620 PENGERANG, JOHOR.
23-01-2019
Total: 20.00"
data/raw/img\008.jpg,"PERNIAGAAN ZHENG HUI
NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81760 JOHOR BAHRU
12/02/2018
Total: 112.45"
data/raw/img\009.jpg,"GERBANG ALAF RESTAURANTS SDN BHD
LEVEL 6, BANGUNAN TH, DAMANSARA UPTOWN3 NO.3, JALAN SS21/39,47400 PETALING JAYA SELANGOR
18/01/2018
Total: 26.60"
data/raw/img\010.jpg,"SAM SAM TRADING CO
67,JLN MEWAH 25/63 TMN SRI MUDA, 40400 SHAH ALAM.
29-12-2017
Total: 14.10"
data/raw/img\011.jpg,"AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD
NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,
15/06/2017
Total: 15.00"
data/raw/img\012.jpg,"HOME MASTER HARDWARE & ELECTRICAL
NO.113G & 115G, JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR.
22/12/2017
Total: 15.90"
data/raw/img\013.jpg,"RESTORAN HASSANBISTRO
NO.2-1-1 JALAN SEITA PRIMA Q U 13/Q SEITA ALAM 40170 SHAN ALAM SELANGOR
12/28/2017
Total: 15.00"
data/raw/img\014.jpg,"ASIA MART
NO.23 BATU 10, TAMAN SENTOSA, JALAN KAPAR, 42200 KLANG, SELANGOR.
22/12/2017
Total: 32.70"
data/raw/img\015.jpg,"HOME MASTER HARDWARE & ELECTRICAL
NO.113G & 115G, JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR.
22/12/2017
Total: 15.90"
data/raw/img\016.jpg,"LIGHTROOM GALLERY SDN BHD
NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA
20/12/2017
Total: 73.00"
data/raw/img\017.jpg,"LIGHTROOM GALLERY SDN BHD
NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA
20/11/2017
Total: 39.80"
data/raw/img\018.jpg,"LIGHTROOM GALLERY SDN BHD
NO: 28,JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA
20/12/2017
Total: 73.00"
data/raw/img\019.jpg,"SHELL ISNI PETRO TRADING
LOT 2685 JLN GENTING KLANG 53300 KL SITE 1066
18/03/18
Total: 86.00"
data/raw/img\020.jpg,"SYL ROASTED DELIGHTS SDN. BHD.
75. JALAN SS 22/19, DAMANSARA JAYA, 47400 PJ
06/03/2018
Total: 54.50"
data/raw/img\021.jpg,"TEO HENG STATIONERY & BOOKS
NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN
18/01/2018
Total: 4.90"
data/raw/img\022.jpg,"FUYI MINI MARKET
NO 43-45-47G, TAMAN SEJATI, IJOK, 45600 BESTARI JAYA, KUALA SELANGOR.
25/01/2018
Total: 9.00"
data/raw/img\023.jpg,"TEO HENG STATIONERY & BOOKS
NO.53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN
17/01/2018
Total: 27.55"
data/raw/img\024.jpg,"TEO HENG STATIONERY & BOOKS
NO.53, JALAN BESAR, 45600 BATANG BEJUNTAL SELANGOR DARUL EHSAN
15/01/2018
Total: 55.10"
data/raw/img\025.jpg,"TEO HENG STATIONERY & BOOKS
NO.53,JALAN BESAR,45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN
23/01/2018
Total: 18.00"
data/raw/img\026.jpg,"TED HENG STATIONERY & BOOKS
NO. 53, JALAN BESAR, 45600 BATANG BERJUNTAI SELANGOR DARUL EHSAN
12/02/2018
Total: 153.35"
data/raw/img\027.jpg,"MR. D.I.Y. (M) SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR
14-03-18
Total: 37.10"
data/raw/img\028.jpg,"99 SPEED MART S/B
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1076-IJOK
24-01-18
Total: 2.50"
data/raw/img\029.jpg,"C W KHOO HARDWARE SDN BHD
NO.50,JALAN PBS 14/11, KAWASAN PERINDUSTRIAN BUKIT SERDANG,
01-03-18
Total: 21.20"
data/raw/img\030.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
05 MAR 2018
Total: $8.20"
data/raw/img\031.jpg,"AEON CO. (M) BHD
3RD FLR, AEON TAMAN MALURI SD JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR
06/03/2018
Total: 75.00"
data/raw/img\032.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI 81200 JOHOR BAHRU,JOHOR
03 MAR 2018
Total: $8.20"
data/raw/img\033.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
10 MAR 2018
Total: "
data/raw/img\034.jpg,"PERNIAGAAN ZHENG HUI
NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU
09/03/2018
Total: 332.30"
data/raw/img\035.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
12 MAR 2018
Total: $8.20"
data/raw/img\036.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
14 MAR 2018
Total: $8.20"
data/raw/img\037.jpg,"WARAKUYA PERMAS CITY SDN BHD
JALAN PERMAS UTARA 1 PERMAS JAYA 81750 MASAI JOHOR
10/03/2018
Total: 57.80"
data/raw/img\038.jpg,"YHM AEON TEBRAU CITY
S117, SECOND FLOOR, AEON TEBRAU CITY, 1, JALAN DESA TEBRAU, TAMAN DESA TEBRAU, 81100 JOHOR BAHRU, JOHOR.
11/03/2018
Total: 13.10"
data/raw/img\039.jpg,"OWNER BY CASTLE BLUE S/B
AVTIVO PLAZA,LOT B-F-11, BLOCK B NO1.JALAN PJU 9/1,D'SARA AVEVUE BANDAR SRI D'SARA, 52000 KL
30/03/2018
Total: 189.75"
data/raw/img\040.jpg,"THREE STOOGES
109, SS21/1A, DAMANSARA UTAMA
12/03/2018
Total: 343.95"
data/raw/img\041.jpg,"THREE STOOGES
109, SS21/1A, DAMANSARA UTAMA
03/03/2018
Total: 174.90"
data/raw/img\042.jpg,"TASTE OF THE WORLD SDN BHD
LOT 38, 39 101 BOULEVARD, JALAN KENARI 5, BANDAR PUCHONG JAYA, 47170 PUCHONG, SELANGOR
5/3/2018
Total: 64.15"
data/raw/img\043.jpg,"32 PUB & BISTRO OWN BY CNU TRADING
78G, JALAN SS21/62, DAMANSARA UTAMA, 47400 PETALING JAYA.
10-03-2018
Total: 190.00"
data/raw/img\044.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PARINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
18 MAR 2018
Total: $8.60"
data/raw/img\045.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PARINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
27 MAR 2018
Total: $6.90"
data/raw/img\046.jpg,"PASAR MINI JIN SENG
379, JALAN PERMAS SATU, BANDAR BARU PERMAS JAYA 81750 PLENTONG, JOHOR.
18/03/18
Total: 28.60"
data/raw/img\047.jpg,"RESTAURANT SIN DU
K3-113, JL IBRAHIM SULTAN 80300 JOHOR BAHRU JOHOR
09/03/2018
Total: 170.00"
data/raw/img\048.jpg,"YONG TAT HARDWARE TRADING
NO 4,JALAN PERJIRANAN 10, TAMAN AIR BIRU, 81700 PASIR GUDANG, JOHOR.
13/03/2018
Total: 100.90"
data/raw/img\049.jpg,"PERNIAGAAN ZHENG HUI
NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU
15/03/2018
Total: 8.00"
data/raw/img\050.jpg,"TIMELESS KITCHENETTE SDN BHD
LOT 50, FLOOR T2,SKY AVENUE GENTING HIGHLANDS PAHANG, 69000 PAHANG MALAYSIA
2018-03-23
Total: 593.10"
data/raw/img\051.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
22 MAR 2018
Total: $7.60"
data/raw/img\052.jpg,"PAGOH REST AND SERVICE AREA
LOT R1, KWS REHAT & RAWAT PAGOH ARAH UTARA, SIMPANG AMPAT PAGOH, LEBUHRAYA UTARA SELATAN, 84600,PAGOH,JOHOR
23/03/2018
Total: 10.00"
data/raw/img\053.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
24 MAR 2018
Total: $9.20"
data/raw/img\054.jpg,"CARREFOUR RESTAURANT
18,JALAN PERMAS 10/7 BANDAR BARU PERMAS JAYA, MASAI,JOHOR
20/03/2018
Total: 13.80"
data/raw/img\055.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
19 MAR 2018
Total: $8.20"
data/raw/img\056.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
21 MAR 2018
Total: $8.70"
data/raw/img\057.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12 JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
29 MAR 2018
Total: $7.10"
data/raw/img\058.jpg,"UNIHAKKA INTERNATIONAL SDN BHD
12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN TAMPOI,81200 JOHOR BAHRU,JOHOR
30 MAR 2018
Total: $8.20"
data/raw/img\059.jpg,"TRIPLE SIX POINT ENTERPRISE 666
NO 14 & 16 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAY
25-03-2018
Total: 7.60"
data/raw/img\060.jpg,"BENS INDEPENDENT GROCER SDN. BHD
LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR
12/03/18
Total: 77.20"
data/raw/img\061.jpg,"NANDO'S CHICKENLAND MALAYSIA SDN BHD
UNIT G-13, GROUND FLOOR, NO.1 JLN KIARA, MONT KIARA 50480 KUALA LUMPUR
28 MAR 18
Total: 129.30"
data/raw/img\062.jpg,"99 SPEED MART S/B
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1245-DESA SRI HARTAMAS
19-03-18
Total: 11.40"
data/raw/img\063.jpg,"PETRODELI ENTERPRISE
LOT 485, TMN LEMBAH KERAMAT JLN ULU KELANG,  54200 KUALA LUMPUR
26/02/18
Total: 85.54"
data/raw/img\064.jpg,"SUN WONG KUT SDN BHD
176 JLN SUNGEI BESI 57100 KUALA LUMPUR.
21/02/18
Total: 88.17"
data/raw/img\065.jpg,"RESTAURANT JIAWEI JIAWEI HOUSE
13, JLN TASIK UTAMA 8 MEDAN NIAGA DAMAI SG BESI 57000 KL
9/3/2018
Total: 65.20"
data/raw/img\066.jpg,"PASARAYA BORONG PINTAR SDN BHD
NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI
14/03/2018
Total: 8.20"
data/raw/img\067.jpg,"LIAN CHI PU TIAN VEGETARIAN RESTAURANT SDN BHD
54,JALAN SS23/11 TAMAN SEA,47400 PETALING JAYA,SELANGOR
06/01/18
Total: 53.55"
data/raw/img\068.jpg,"PASARAYA BORONG PINTAR SDN BHD
NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4, MEDAN NIAGA TASIK DAMAI
20180304
Total: 3.20"
data/raw/img\069.jpg,"99 SPEED MART S/B
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1249-TMN PANDAN CAHAYA
20-02-18
Total: 9.90"
data/raw/img\070.jpg,"99 SPEED MART S/B
LOT P.T. 2811, JALAN ANGSA, TAMAN BERKELEY 41150 KLANG, SELANGOR 1317 TRILLIUM S6 BESI
05-02-18
Total: 141.50"
data/raw/img\071.jpg,"AEON CO. (M) BHD
3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR
19/02/2018
Total: 17.70"
data/raw/img\072.jpg,"POPULAR BOOK CO. (M) SDN BHD
NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA
01/03/18
Total: 49.40"
data/raw/img\073.jpg,"LIAN HING STATIONERY SDN BHD
NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN
27/03/2018
Total: 79.50"
data/raw/img\074.jpg,"GL HANDICRAFT & TAIL ORING
19, JALAN KANCIL, OFF JALAN PUDU, 55100 KUALA LUMPUR MALAYSIA
20/03/2018
Total: 102.00"
data/raw/img\075.jpg,"LIAN HING STATIONERY SDN BHD
NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN
30/03/2018
Total: 159.00"
data/raw/img\076.jpg,"LIAN HING STATIONERY SDN BHD
NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN
27/03/2018
Total: 12.00"
data/raw/img\077.jpg,"BANH MI CAFE SDN BHD
NO,1 JALAN PUTERI 7/10 BANDAR PUTERI, 47100 PUCHONG SELANGOR, MALAYSIA
29-10-2017
Total: 23.25"
data/raw/img\078.jpg,"THAI DELICIOUS RESTAURANT
NO.22 JALAN PUTERI 2/4 BANDAR PUTERI 47100 PUCHONG, SELANGOR
02/02/2017
Total: 92.80"
data/raw/img\079.jpg,"MR.D.I.Y(M)SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR
19-09-17
Total: 15.90"
data/raw/img\080.jpg,"HON HWA HARDWARE TRADING
NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.
21/09/2017
Total: 10.40"
data/raw/img\081.jpg,"MR. D.I.Y. SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR
24-11-17
Total: RM 3.90"
data/raw/img\082.jpg,"HON HWA HARDWARE TRADING
NO 37, JALAN MANIS 7, TAMAN SEGAR, 56100 CHERAS, KUALA LUMPUR.
08/02/2017
Total: 277.00"
data/raw/img\083.jpg,"VIVOPAC MARKETING SDN BHD
14 JALAN MANIS 4 TAMAN SEGAR 56100 KL
30/05/2017
Total: 18.80"
data/raw/img\084.jpg,"MR. D.I.Y. SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR
18-10-17
Total: 5.90"
data/raw/img\085.jpg,"MR. D.I.Y. SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR
28-12-17
Total: 9.90"
data/raw/img\086.jpg,"MR. D.I.Y. (KUCHAI) SDN BHD
LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR
08-03-17
Total: 37.80"
data/raw/img\087.jpg,"IKANO HANDEL SDN BHD
NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR
27/07/17
Total: 538.00"
data/raw/img\088.jpg,"IKANO HANDEL SDN BHD
NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR
09/08/17
Total: 99.80"
data/raw/img\089.jpg,"FY EAGLE ENTERPRISE
NO. 42, JALAN PBS 14/11, TAMAN PERINDUSTRIAN BUKIT SERDANG, 43300 SERI KEMBANGAN, SELANGOR
04/12/2017
Total: 7.00"
data/raw/img\090.jpg,"TRI SHAAS SDN BHD
4-20, JALAN RIA 25/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SELANGOR
13/03/2017
Total: 5.00"
data/raw/img\091.jpg,"TRI SHAAS SDN BHD
4-20, JALAN RIA 25/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SELANGOR
4/02/2017
Total: 85.10"
data/raw/img\092.jpg,"ADVANCO COMPANY
NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR
23/03/2018
Total: 83.00"
data/raw/img\093.jpg,"AEON CO. (M) BHD.
3 FLOOR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR
22/03/2018
Total: 5.90"
data/raw/img\094.jpg,"AEON CO. (M) BHD
3RD FLR, AEON TAMAN MALURI SC JLN JEJAKA, TAMAN MALURI CHERAS, 55100 KUALA LUMPUR
09/02/2018
Total: 5.90"
data/raw/img\095.jpg,"POPULAR BOOK CO. (M) SDN BHD
NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA KL FESTIVAL CITY MALL
07/01/18
Total: 31.45"
data/raw/img\096.jpg,"POPULAR BOOK CO. (M) SDN BHD
NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA
29/03/18
Total: 9.65"
data/raw/img\097.jpg,"POPULAR BOOK CO. (M) SDN BHD
NO 8, JALAN 7/118B, DESA TUN RAZAK 56000 KUALA LUMPUR, MALAYSIA
12/01/18
Total: 21.00"
data/raw/img\098.jpg,"WAHIN HARDWARE SDN BHD
425, JALAN PAHANG, SETAPAK, 53000 KUALA LUMPUR.
04/12/17
Total: 42.40"
data/raw/img\099.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR
04/12/2017
Total: 47.70"
data/raw/img\100.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS. SETAPAK. 53200, KUALA LUMPUR.
02/12/2017
Total: 7.42"
data/raw/img\101.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR.
02/12/2017
Total: 29.68"
data/raw/img\102.jpg,"IKANO HANDEL SDN BHD
NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR
23/12/17
Total: 73.30"
data/raw/img\103.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS. SETAPAK, 53200, KUALA LUMPUR
28/12/2017
Total: 148.40"
data/raw/img\104.jpg,"T.A.S LEISURE SDN BHD

30 DEC 17
Total: 102.40"
data/raw/img\105.jpg,"SWEET FOREST CAFE
NO 21, JLN BUNGA KANTAN TAMAN P. RAMLEE SETAPAK 53000 KUALA LUMPUR
14-02-2018
Total: 30.30"
data/raw/img\106.jpg,"BEYOND BROTHERS HARDWARE
LOT 1-0-2, JLN 1/50, DIAMOND SQUARE, OFF JLN GOMBAK 53000 KUALA LUMPUR
14/03/2018
Total: 599.45"
data/raw/img\107.jpg,"ZAWIAJAYA FOOD N BEVERAGE SDN BHD
106-107, LEVEL 1 THE MINES MALL SERDANG SRI KEMBANGAN, 43300 SELANGOR DARUL EHSAN.
21-03-2018
Total: 48.15"
data/raw/img\108.jpg,"LIM SENG THO HARDWARE TRADING
NO 7. SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA
03/02/2018
Total: 7.00"
data/raw/img\109.jpg,"LIM SENG THO HARDWARE TRADING
NO 7, SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA
09/02/2018
Total: 7.00"
data/raw/img\110.jpg,"LIM SENG THO HARDWARE TRADING
NO 7, SIMPANG OFF BATU VILLAGE, JALAN IPOH BATU 5, 51200 KUALA LUMPUR MALAYSIA
29/12/2017
Total: 6.00"
data/raw/img\111.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
28/12/2017
Total: 465.34"
data/raw/img\112.jpg,"SUN VICTORY SDN BHD
LEVEL G2, BLOCK D1, SOLARIS DUTAMAS, NO.1, JALAN DUTAMAS 1, 50480 KUALA LUMPUR
14/01/2018
Total: RM4.00"
data/raw/img\113.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
02/01/2018
Total: 93.07"
data/raw/img\114.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
04/01/2018
Total: 44.73"
data/raw/img\115.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
10/01/2018
Total: 23.32"
data/raw/img\116.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
11/01/2018
Total: 116.28"
data/raw/img\117.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
03/01/2018
Total: 94.87"
data/raw/img\118.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
02/01/2018
Total: 13.25"
data/raw/img\119.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
02/01/2018
Total: 2.12"
data/raw/img\120.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
13/01/2018
Total: 6.36"
data/raw/img\121.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
11/01/2018
Total: 21.20"
data/raw/img\122.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
13/01/2018
Total: 12.72"
data/raw/img\123.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
02/01/2018
Total: 39.75"
data/raw/img\124.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
12/02/2018
Total: 5.30"
data/raw/img\125.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
12/02/2018
Total: 270.30"
data/raw/img\126.jpg,"SYARIKAT PERNIAGAAN GIN KEE
NO 290, JALAN AIR PANAS, SETAPAK, 53200, KUALA LUMPUR.
03/02/2018
Total: 60.95"
